Let us play a game named Bongard-Tool. I will give you 6 tools that can perform a function, and 6 tools that can not perform that function. Then I will ask you whether another tool could perform that function. All you need to do is guess the possible function, and tell me yes or no. For example, there is a function that can be performed by these tools: ['Styrofoam', 'Stone', 'Balsa-Wood', 'Cardboard', 'Wooden-Block', 'Clay'], and this function can not be performed by these tools: ['Anchors', 'Padlock', 'Smartphone', 'Hacksaw', 'Tile-Saw', 'Scrub-Brush']. What function it may be? Can Plaster be used to perform this function? Can Robot-Arm be used to perform this function? You just need to answer: Possible functions: carving, crafting, or sculpture. Yes, No.
There is a function that can be performed by these tools: ['Screwdriver', 'Hacksaw', 'Hammer', 'Chisel', 'File', 'Drill-Bit'], and this function cannot be performed by these tools: ['Cheese', 'Padlock', 'Table-Saw', 'Clay', 'Luggage-Lock', 'LED-Lights']. What function it may be? Can Pencil be used to perform this function? Can Desktop-Computer be used to perform this function? 
There is a function that can be performed by these tools: ['Speakers', 'Mouse', 'Monitor', 'Webcam', 'Gamepad', 'Scanner'], and this function cannot be performed by these tools: ['Tow-Truck', 'Paint-Palette', 'Pressure-Gauge', 'CSV-File', 'Door', 'Smartwatch']. What function it may be? Can Microphone be used to perform this function? Can Leather be used to perform this function? 
There is a function that can be performed by these tools: ['Gesture-Sensor', 'Mouse', 'Game-Controller', 'Touchscreen-Monitor', 'Joystick', 'Light-Switch'], and this function cannot be performed by these tools: ['Robot-Car', 'CSV-Files', 'Crimp-Tool', 'Paintbrush-Holder', 'Rag', 'Pitchfork']. What function it may be? Can Tablet be used to perform this function? Can Jump-Rope be used to perform this function? 
There is a function that can be performed by these tools: ['Bed', 'Stool', 'Chair', 'Desk', 'Bookshelf', 'Couch'], and this function cannot be performed by these tools: ['Yarn', 'Robot-Arm', 'Cardboard', 'Cane', 'Magnetic-Tape', 'Mailbox-Lock']. What function it may be? Can Cabinet be used to perform this function? Can Doorknob be used to perform this function? 
There is a function that can be performed by these tools: ['Couch', 'Stool', 'Bookshelf', 'Bed', 'Desk', 'Cabinet'], and this function cannot be performed by these tools: ['Mailbox-Lock', 'Yarn', 'Cardboard', 'Doorknob', 'Magnetic-Tape', 'Robot-Arm']. What function it may be? Can Chair be used to perform this function? Can Cane be used to perform this function? 
There is a function that can be performed by these tools: ['Styrofoam', 'Stone', 'Balsa-Wood', 'Cardboard', 'Wooden-Block', 'Clay'], and this function cannot be performed by these tools: ['Anchors', 'Padlock', 'Smartphone', 'Hacksaw', 'Tile-Saw', 'Scrub-Brush']. What function it may be? Can Plaster be used to perform this function? Can Robot-Arm be used to perform this function? 
There is a function that can be performed by these tools: ['Tuple', 'String', 'Float', 'Boolean', 'File', 'List'], and this function cannot be performed by these tools: ['Flagpole', 'Desk', 'Rocking-Horse', 'Fabric', 'Flash-Drive', 'Recording-Software']. What function it may be? Can Class be used to perform this function? Can Optical-Disc be used to perform this function? 
There is a function that can be performed by these tools: ['Docks', 'Buoys', 'Floating-Logs', 'Wharfs', 'Boats', 'Pilings'], and this function cannot be performed by these tools: ['Strain-Gauge', 'Microcontroller', 'Sticky-Notes', 'Circular-Saw', 'Clamps', 'Socket']. What function it may be? Can Piers be used to perform this function? Can Descenders be used to perform this function? 
There is a function that can be performed by these tools: ['Game-Controller', 'Joystick', 'Light-Switch', 'Mouse', 'Gesture-Sensor', 'Touchscreen-Monitor'], and this function cannot be performed by these tools: ['Robot-Car', 'CSV-Files', 'Crimp-Tool', 'Jump-Rope', 'Paintbrush-Holder', 'Rag']. What function it may be? Can Tablet be used to perform this function? Can Pitchfork be used to perform this function? 
There is a function that can be performed by these tools: ['Desktop-Computer', 'Smartphone', 'Tablet', 'Drone', 'Laptop', 'Robot'], and this function cannot be performed by these tools: ['Vice', 'Garage-Door-Lock', 'Golf-Ball', 'Yarn', 'Dice-Shaker', 'Robot-Vacuum']. What function it may be? Can Microcontroller be used to perform this function? Can Ceiling be used to perform this function? 
There is a function that can be performed by these tools: ['Stool', 'Bookshelf', 'Chair', 'Desk', 'Bed', 'Cabinet'], and this function cannot be performed by these tools: ['Doorknob', 'Magnetic-Tape', 'Robot-Arm', 'Cardboard', 'Yarn', 'Mailbox-Lock']. What function it may be? Can Couch be used to perform this function? Can Cane be used to perform this function? 
There is a function that can be performed by these tools: ['Gamepad', 'Speakers', 'Mouse', 'Microphone', 'Webcam', 'Scanner'], and this function cannot be performed by these tools: ['CSV-File', 'Tow-Truck', 'Leather', 'Door', 'Pressure-Gauge', 'Paint-Palette']. What function it may be? Can Monitor be used to perform this function? Can Smartwatch be used to perform this function? 
There is a function that can be performed by these tools: ['Pen', 'Highlighter', 'Paper-Clip', 'Stapler', 'Scissors', 'Glue-Stick'], and this function cannot be performed by these tools: ['Bench', 'Screwdriver-Bit', 'Tightrope', 'Memory-Card', 'Jigsaw', 'Calculator']. What function it may be? Can White-Out be used to perform this function? Can USB-Mouse be used to perform this function? 
There is a function that can be performed by these tools: ['Bed', 'Cabinet', 'Chair', 'Dresser', 'Stool', 'Bookshelf'], and this function cannot be performed by these tools: ['Socket-Set', 'Dodecahedron', 'Memory-Card', 'Ribbon', 'Filter', 'Anchors']. What function it may be? Can Table be used to perform this function? Can Glass be used to perform this function? 
There is a function that can be performed by these tools: ['Chain', 'Towel', 'Cable', 'Hook', 'Handle', 'Rope'], and this function cannot be performed by these tools: ['Storage-Device', 'Paint-Brush-Cleaner', 'Rugby-Ball', 'Beam', 'Clamp', 'Napkin']. What function it may be? Can Bungee-Cord be used to perform this function? Can Soldering-Iron be used to perform this function? 
There is a function that can be performed by these tools: ['Paper-Clip', 'Glue-Stick', 'Pen', 'Stapler', 'Scissors', 'White-Out'], and this function cannot be performed by these tools: ['Calculator', 'USB-Mouse', 'Screwdriver-Bit', 'Jigsaw', 'Bench', 'Memory-Card']. What function it may be? Can Highlighter be used to perform this function? Can Tightrope be used to perform this function? 
There is a function that can be performed by these tools: ['Sensor', 'Raspberry-Pi', 'GPS-Tracker', 'Computer', 'Microcontroller', 'Robot'], and this function cannot be performed by these tools: ['Laptop', 'Excel-Spreadsheet', 'Stopwatch', 'Magnetic-Tape', 'Plate', 'Joystick']. What function it may be? Can Drone be used to perform this function? Can Robot-Vacuum be used to perform this function? 
There is a function that can be performed by these tools: ['Couch', 'Bookshelf', 'Desk', 'Chair', 'Cabinet', 'Bed'], and this function cannot be performed by these tools: ['Doorknob', 'Yarn', 'Cardboard', 'Mailbox-Lock', 'Cane', 'Magnetic-Tape']. What function it may be? Can Stool be used to perform this function? Can Robot-Arm be used to perform this function? 
There is a function that can be performed by these tools: ['Floor', 'Wall', 'Bookshelf', 'Chair', 'Desk', 'Door'], and this function cannot be performed by these tools: ['Raspberry-Pi', 'Drill-Press', 'API-Endpoints', 'Table-Saw', 'Diaphragm', 'Thimble']. What function it may be? Can Cabinet be used to perform this function? Can Cabinet-Handle be used to perform this function? 
There is a function that can be performed by these tools: ['Boolean', 'Tuple', 'File', 'List', 'Class', 'Float'], and this function cannot be performed by these tools: ['Desk', 'Flash-Drive', 'Flagpole', 'Recording-Software', 'Optical-Disc', 'Rocking-Horse']. What function it may be? Can String be used to perform this function? Can Fabric be used to perform this function? 
There is a function that can be performed by these tools: ['Audio-Interface', 'Microphone', 'Recording-Software', 'Speakers', 'Mouse', 'Cables'], and this function cannot be performed by these tools: ['Scissor-Lift', 'Pulley', 'Netting', 'Ribbon', 'Graph-Paper', 'Storage-Device']. What function it may be? Can Monitor be used to perform this function? Can Seam-Ripper be used to perform this function? 
There is a function that can be performed by these tools: ['Rivets', 'Nails', 'Anchors', 'Clamps', 'Staples', 'Screws'], and this function cannot be performed by these tools: ['Gamepad', 'Dictionary', 'SD-Card', 'Awl', 'Clock', 'Table-Saw']. What function it may be? Can Adhesives be used to perform this function? Can Lace be used to perform this function? 
There is a function that can be performed by these tools: ['Gamepad', 'Mouse', 'Scanner', 'Webcam', 'Monitor', 'Speakers'], and this function cannot be performed by these tools: ['Tow-Truck', 'Door', 'Leather', 'Pressure-Gauge', 'Smartwatch', 'Paint-Palette']. What function it may be? Can Microphone be used to perform this function? Can CSV-File be used to perform this function? 
There is a function that can be performed by these tools: ['White-Out', 'Pen', 'Scissors', 'Stapler', 'Glue-Stick', 'Paper-Clip'], and this function cannot be performed by these tools: ['Tightrope', 'Calculator', 'Memory-Card', 'Bench', 'Jigsaw', 'Screwdriver-Bit']. What function it may be? Can Highlighter be used to perform this function? Can USB-Mouse be used to perform this function? 
There is a function that can be performed by these tools: ['Monitor', 'Mouse', 'Speakers', 'Recording-Software', 'Microphone', 'Audio-Interface'], and this function cannot be performed by these tools: ['Graph-Paper', 'Storage-Device', 'Seam-Ripper', 'Ribbon', 'Scissor-Lift', 'Netting']. What function it may be? Can Cables be used to perform this function? Can Pulley be used to perform this function? 
There is a function that can be performed by these tools: ['Wooden-Block', 'Styrofoam', 'Plaster', 'Clay', 'Balsa-Wood', 'Cardboard'], and this function cannot be performed by these tools: ['Scrub-Brush', 'Hacksaw', 'Tile-Saw', 'Anchors', 'Padlock', 'Robot-Arm']. What function it may be? Can Stone be used to perform this function? Can Smartphone be used to perform this function? 
There is a function that can be performed by these tools: ['List', 'File', 'Float', 'Class', 'Tuple', 'Boolean'], and this function cannot be performed by these tools: ['Fabric', 'Optical-Disc', 'Desk', 'Flash-Drive', 'Flagpole', 'Rocking-Horse']. What function it may be? Can String be used to perform this function? Can Recording-Software be used to perform this function? 
There is a function that can be performed by these tools: ['Switch', 'Dial', 'Slider', 'Button', 'Joystick', 'Pedal'], and this function cannot be performed by these tools: ['Digital-Level', 'Mouse', 'Clamp', 'Paper', 'Bobbins', 'Napkin']. What function it may be? Can Handle be used to perform this function? Can Spirit-Level be used to perform this function? 
There is a function that can be performed by these tools: ['Smartphone', 'Smartwatch', 'Laptop', 'Smart-TV', 'Smart-Speaker', 'Printer'], and this function cannot be performed by these tools: ['Needle', 'Polish-Flag', 'Sound-Card', 'Staple-Punch', 'Rugby-Ball', 'Refrigerator']. What function it may be? Can Tablet be used to perform this function? Can Sharpener be used to perform this function? 
There is a function that can be performed by these tools: ['Game-Controller', 'Mouse', 'Joystick', 'Light-Switch', 'Touchscreen-Monitor', 'Gesture-Sensor'], and this function cannot be performed by these tools: ['CSV-Files', 'Rag', 'Jump-Rope', 'Pitchfork', 'Crimp-Tool', 'Paintbrush-Holder']. What function it may be? Can Tablet be used to perform this function? Can Robot-Car be used to perform this function? 
